0 , 42.1015 , 72.5898 , North America , Jan , 1 , 2016 , -5
1 , 42.1015 , 72.5898 , North America , Jan , 2 , 2016 , 13
2 , 42.1015 , 72.5898 , North America , Jan , 3 , 2016 , -9
3 , 42.1015 , 72.5898 , North America , Jan , 4 , 2016 , 12
4 , 42.1015 , 72.5898 , North America , Jan , 5 , 2016 , 5
5 , 42.1015 , 72.5898 , North America , Jan , 6 , 2016 , 13
6 , 42.1015 , 72.5898 , North America , Jan , 7 , 2016 , 7
7 , 42.1015 , 72.5898 , North America , Jan , 8 , 2016 , 22
8 , 42.1015 , 72.5898 , North America , Jan , 9 , 2016 , -6
9 , 42.1015 , 72.5898 , North America , Jan , 10 , 2016 , 2
10 , 42.1015 , 72.5898 , North America , Jan , 11 , 2016 , 6
11 , 42.1015 , 72.5898 , North America , Jan , 12 , 2016 , 14
12 , 42.1015 , 72.5898 , North America , Jan , 13 , 2016 , 7
13 , 42.1015 , 72.5898 , North America , Jan , 14 , 2016 , 28
14 , 42.1015 , 72.5898 , North America , Jan , 15 , 2016 , 15
15 , 42.1015 , 72.5898 , North America , Jan , 16 , 2016 , 5
16 , 42.1015 , 72.5898 , North America , Jan , 17 , 2016 , -4
17 , 42.1015 , 72.5898 , North America , Jan , 18 , 2016 , 14
18 , 42.1015 , 72.5898 , North America , Jan , 19 , 2016 , 10
19 , 42.1015 , 72.5898 , North America , Jan , 20 , 2016 , 25
20 , 42.1015 , 72.5898 , North America , Jan , 21 , 2016 , 30
21 , 42.1015 , 72.5898 , North America , Jan , 22 , 2016 , 2
22 , 42.1015 , 72.5898 , North America , Jan , 23 , 2016 , -7
23 , 42.1015 , 72.5898 , North America , Jan , 24 , 2016 , 14
24 , 42.1015 , 72.5898 , North America , Jan , 25 , 2016 , -9
25 , 42.1015 , 72.5898 , North America , Jan , 26 , 2016 , 16
26 , 42.1015 , 72.5898 , North America , Jan , 27 , 2016 , 15
27 , 42.1015 , 72.5898 , North America , Jan , 28 , 2016 , -2
28 , 42.1015 , 72.5898 , North America , Jan , 29 , 2016 , 25
29 , 42.1015 , 72.5898 , North America , Jan , 30 , 2016 , 11
30 , 42.1015 , 72.5898 , North America , Jan , 31 , 2016 , 14
31 , 42.1015 , 72.5898 , North America , Feb , 1 , 2016 , 45
32 , 42.1015 , 72.5898 , North America , Feb , 2 , 2016 , 37
33 , 42.1015 , 72.5898 , North America , Feb , 3 , 2016 , 20
34 , 42.1015 , 72.5898 , North America , Feb , 4 , 2016 , 20
35 , 42.1015 , 72.5898 , North America , Feb , 5 , 2016 , 17
36 , 42.1015 , 72.5898 , North America , Feb , 6 , 2016 , 35
37 , 42.1015 , 72.5898 , North America , Feb , 7 , 2016 , 36
38 , 42.1015 , 72.5898 , North America , Feb , 8 , 2016 , 14
39 , 42.1015 , 72.5898 , North America , Feb , 9 , 2016 , 14
40 , 42.1015 , 72.5898 , North America , Feb , 10 , 2016 , 23
41 , 42.1015 , 72.5898 , North America , Feb , 11 , 2016 , 30
42 , 42.1015 , 72.5898 , North America , Feb , 12 , 2016 , 33
43 , 42.1015 , 72.5898 , North America , Feb , 13 , 2016 , 2
44 , 42.1015 , 72.5898 , North America , Feb , 14 , 2016 , 6
45 , 42.1015 , 72.5898 , North America , Feb , 15 , 2016 , 0
46 , 42.1015 , 72.5898 , North America , Feb , 16 , 2016 , 32
47 , 42.1015 , 72.5898 , North America , Feb , 17 , 2016 , 41
48 , 42.1015 , 72.5898 , North America , Feb , 18 , 2016 , 34
49 , 42.1015 , 72.5898 , North America , Feb , 19 , 2016 , 48
50 , 42.1015 , 72.5898 , North America , Feb , 20 , 2016 , 37
51 , 42.1015 , 72.5898 , North America , Feb , 21 , 2016 , 18
52 , 42.1015 , 72.5898 , North America , Feb , 22 , 2016 , 12
53 , 42.1015 , 72.5898 , North America , Feb , 23 , 2016 , 40
54 , 42.1015 , 72.5898 , North America , Feb , 24 , 2016 , 14
55 , 42.1015 , 72.5898 , North America , Feb , 25 , 2016 , 34
56 , 42.1015 , 72.5898 , North America , Feb , 26 , 2016 , 29
57 , 42.1015 , 72.5898 , North America , Feb , 27 , 2016 , 28
58 , 42.1015 , 72.5898 , North America , Feb , 28 , 2016 , 26
59 , 42.1015 , 72.5898 , North America , Feb , 29 , 2016 , 29
60 , 42.1015 , 72.5898 , North America , Feb , 30 , 2016 , 38
61 , 42.1015 , 72.5898 , North America , Feb , 31 , 2016 , 43
62 , 42.1015 , 72.5898 , North America , Feb , 32 , 2016 , 24
63 , 42.1015 , 72.5898 , North America , Feb , 33 , 2016 , 25
64 , 42.1015 , 72.5898 , North America , Feb , 34 , 2016 , 13
65 , 42.1015 , 72.5898 , North America , Feb , 35 , 2016 , 19
66 , 42.1015 , 72.5898 , North America , Feb , 36 , 2016 , 8
67 , 42.1015 , 72.5898 , North America , Feb , 37 , 2016 , 6
68 , 42.1015 , 72.5898 , North America , Feb , 38 , 2016 , 34
69 , 42.1015 , 72.5898 , North America , Mar , 1 , 2016 , 35
70 , 42.1015 , 72.5898 , North America , Mar , 2 , 2016 , 25
71 , 42.1015 , 72.5898 , North America , Mar , 3 , 2016 , 15
72 , 42.1015 , 72.5898 , North America , Mar , 4 , 2016 , 15
73 , 42.1015 , 72.5898 , North America , Mar , 5 , 2016 , 30
74 , 42.1015 , 72.5898 , North America , Mar , 6 , 2016 , 33
75 , 42.1015 , 72.5898 , North America , Mar , 7 , 2016 , 17
76 , 42.1015 , 72.5898 , North America , Mar , 8 , 2016 , 15
77 , 42.1015 , 72.5898 , North America , Mar , 9 , 2016 , 26
78 , 42.1015 , 72.5898 , North America , Mar , 10 , 2016 , 23
79 , 42.1015 , 72.5898 , North America , Mar , 11 , 2016 , 30
80 , 42.1015 , 72.5898 , North America , Mar , 12 , 2016 , 21
81 , 42.1015 , 72.5898 , North America , Mar , 13 , 2016 , 48
82 , 42.1015 , 72.5898 , North America , Mar , 14 , 2016 , 44
83 , 42.1015 , 72.5898 , North America , Mar , 15 , 2016 , 36
84 , 42.1015 , 72.5898 , North America , Mar , 16 , 2016 , 14
85 , 42.1015 , 72.5898 , North America , Mar , 17 , 2016 , 14
86 , 42.1015 , 72.5898 , North America , Mar , 18 , 2016 , 31
87 , 42.1015 , 72.5898 , North America , Mar , 19 , 2016 , 17
88 , 42.1015 , 72.5898 , North America , Mar , 20 , 2016 , 15
89 , 42.1015 , 72.5898 , North America , Mar , 21 , 2016 , 39
90 , 42.1015 , 72.5898 , North America , Mar , 22 , 2016 , 21
91 , 42.1015 , 72.5898 , North America , Mar , 23 , 2016 , 41
92 , 42.1015 , 72.5898 , North America , Mar , 24 , 2016 , 13
93 , 42.1015 , 72.5898 , North America , Mar , 25 , 2016 , 39
94 , 42.1015 , 72.5898 , North America , Mar , 26 , 2016 , 14
95 , 42.1015 , 72.5898 , North America , Mar , 27 , 2016 , 24
